Date,Hebrew_Country,Positive and vaccinated,Positive and vaccinated (not valid),Positive unvaccinated,Vaccinated residents,Vaccinated(not valid) residents,Unvaccinated residents,Country
2021-09-28,קוסטה ריקה,0,1,0,42,16,0,Costa Rica
2021-09-28,טוגו,0,0,0,1,0,0,Togo
2021-09-28,אוגנדה,0,0,0,1,2,0,Uganda
2021-09-28,בוסניה הרצגובינה,0,0,0,16,3,0,Bosnia and Herzegovina
2021-09-28,קנדה,0,0,0,175,11,0,Canada
2021-09-28,ארצות הברית,1,2,0,1466,76,0,United States
2021-09-28,איטליה,0,0,0,849,23,0,Italy
2021-09-28,יוון,2,0,0,2565,89,0,Greece
2021-09-28,קניה,0,0,0,15,1,0,Kenya
2021-09-28,הונגריה,0,0,0,682,22,0,Hungary
2021-09-28,אוקראינה,3,3,0,278,34,0,Ukraine
2021-09-28,ירדן,2,1,0,212,26,0,Jordan
2021-09-28,מקדוניה,0,0,0,1,0,0,Macedonia
2021-09-28,חוף השנהב,0,0,0,1,0,0,Ivory Coast
2021-09-28,פנמה,0,0,0,13,5,0,Panama
2021-09-28,צרפת,0,0,0,676,22,0,France
2021-09-28,גרמניה,0,0,0,479,14,0,Germany
2021-09-28,בחריין,0,0,0,1,0,0,Bahrain
2021-09-28,רומניה,0,1,0,428,30,0,Romania
2021-09-28,ארגנטינה,0,0,0,12,0,0,Argentina
2021-09-28,איסלנד,1,0,0,139,2,0,Iceland
2021-09-28,סרי לנקה (צילון),0,0,0,8,0,0,Sri Lanka (photo)
2021-09-28,רוסיה,5,1,0,235,31,0,Russia
2021-09-28,רואנדה,0,0,0,4,0,0,Rwanda
2021-09-28,לטביה,0,0,0,72,4,0,Latvia
2021-09-28,גאורגיה,4,0,0,515,22,0,Georgia
2021-09-28,מקסיקו,0,0,0,1,1,0,Mexico
2021-09-28,ויטנאם,0,0,0,1,0,0,Vietnam
2021-09-28,פרגוואי,0,0,0,2,0,0,Paraguay
2021-09-28,אוזבקיסטן,0,0,0,5,0,0,Uzbekistan
2021-09-28,מלזיה,0,0,0,0,0,0,Malaysia
2021-09-28,זימבאבווה,0,0,0,3,0,0,Zimbabwe
2021-09-28,אוסטריה,0,0,0,558,20,0,Austria
2021-09-28,איי קייפ וורדה,0,0,0,1,0,0,Cape Verde
2021-09-28,תאילנד,0,0,0,0,2,0,Thailand
2021-09-28,הממלכה המאוחדת,0,0,0,271,7,0,United Kingdom
2021-09-28,הונג קונג,0,0,0,0,1,0,Hong Kong
2021-09-28,קולומביה,0,0,0,2,3,0,Colombia
2021-09-28,נורבגיה,0,0,0,3,0,0,Norway
2021-09-28,תוניסיה,0,0,0,2,2,0,Tunisia
2021-09-28,תורכיה,0,0,0,36,10,0,Turkey
2021-09-28,ערב הסעודית,0,0,0,2,0,0,Saudi Arabia
2021-09-28,ארמניה,0,0,0,4,0,0,Armenia
2021-09-28,פורטוגל,0,0,0,53,8,0,Portugal
2021-09-28,אקואדור,1,0,0,3,0,0,Ecuador
2021-09-28,הולנד,0,1,0,147,19,0,Netherlands
2021-09-28,אירלנד,0,0,0,19,0,0,Ireland
2021-09-28,קמרון,0,0,0,1,0,0,Cameroon
2021-09-28,קוריאה הדרומית,0,0,0,5,0,0,South Korea
2021-09-28,נפאל,0,0,0,4,0,0,Nepal
2021-09-28,ברזיל,0,0,0,1,1,0,Brazil
2021-09-28,סלובניה,0,0,0,13,0,0,Slovenia
2021-09-28,הודו,0,0,0,2,1,0,India
2021-09-28,אסטוניה,0,0,0,6,0,0,Estonia
2021-09-28,קרואטיה,0,0,0,16,0,0,Croatia
2021-09-28,מולדובה,0,0,0,102,8,0,Moldova
2021-09-28,בלגיה,0,0,0,18,1,0,Belgium
2021-09-28,טנזניה,0,0,0,37,3,0,Tanzania
2021-09-28,הרפ הדומיניקנית,1,0,0,25,2,0,Dominican Harp
2021-09-28,אתיופיה,0,0,0,8,8,0,Ethiopia
2021-09-28,קפריסין,0,0,0,257,17,0,Cyprus
2021-09-28,דרום אפריקה,0,0,0,22,3,0,South Africa
2021-09-28,כלל המדינות,26,11,0,16833,1151,0,All Countries
2021-09-29,אורגוואי,0,0,0,0,0,0,Uruguay
2021-09-29,פולין,0,0,0,340,13,0,Poland
2021-09-29,סלובקיה,0,0,0,191,6,0,Slovakia
2021-09-29,זמביה,0,0,0,7,0,0,Zambia
2021-09-29,אתיופיה,0,0,0,43,10,0,Ethiopia
2021-09-29,תורכמניסטאן,0,0,0,2,0,0,Turkmenistan
2021-09-29,בלגיה,0,0,0,11,1,0,Belgium
2021-09-29,מרוקו,0,0,0,11,5,0,Morocco
2021-09-29,לוכסמבורג,0,0,0,2,0,0,Luxembourg
2021-09-29,טג'יקיסטאן,0,0,0,0,1,0,Tajikistan
2021-09-29,צכיה,0,0,0,799,45,0,Czech Republic
2021-09-29,מאוריציוס,0,0,0,1,0,0,Mauritius
2021-09-29,הרפ הדומיניקנית,0,0,0,4,1,0,Dominican Harp
2021-09-29,מקדוניה,0,0,0,1,0,0,Macedonia
2021-09-29,שוודיה,0,0,0,3,1,0,Sweden
2021-09-29,איסלנד,0,0,0,57,2,0,Iceland
2021-09-29,דנמרק,0,0,0,30,4,0,Denmark
2021-09-29,הממלכה המאוחדת,0,0,0,621,19,0,United Kingdom
2021-09-29,בולגריה,0,0,0,26,17,0,Bulgaria
2021-09-29,טיוואן,0,0,0,0,2,0,Taiwan
2021-09-29,פיליפינים,0,0,0,0,0,0,Philippines
2021-09-29,איטליה,0,0,0,1157,32,0,Italy
2021-09-29,מוזמביק,0,0,0,1,2,0,Mozambique
2021-09-29,מקסיקו,0,0,0,1,1,0,Mexico
2021-09-29,צרפת,0,0,0,886,53,0,France
2021-09-29,תאילנד,0,0,0,2,1,0,Thailand
2021-09-29,דרום סודאן,0,0,0,1,0,0,South Sudan
2021-09-29,בילורוסיה,2,0,0,116,13,0,Belarus
2021-09-29,איחוד האמירויות הערב,0,0,0,338,27,0,UAE
2021-09-29,יוון,1,1,0,1718,75,0,Greece
2021-09-29,גווטאמלה,0,0,0,1,3,0,Guatemala
2021-09-29,קפריסין,0,0,0,723,75,0,Cyprus
2021-09-29,שוויץ,0,0,0,172,7,0,Switzerland
2021-09-29,ירדן,0,0,0,88,12,0,Jordan
2021-09-29,הולנד,1,0,0,267,16,0,Netherlands
2021-09-29,סרי לנקה (צילון),0,0,0,6,2,0,Sri Lanka (photo)
2021-09-29,ארצות הברית,1,0,0,1923,134,0,United States
2021-09-29,נורבגיה,0,0,0,1,0,0,Norway
2021-09-29,איי סיישל,0,0,0,111,7,0,Seychelles
2021-09-29,אוגנדה,0,0,0,1,0,0,Uganda
2021-09-29,תורכיה,0,0,0,58,6,0,Turkey
2021-09-29,פינלנד,0,0,0,65,4,0,Finland
2021-09-29,ליטא,0,0,0,31,0,0,Lithuania
2021-09-29,פנמה,0,0,0,1,1,0,Panama
2021-09-29,מלדיבים,0,0,0,81,6,0,Maldives
2021-09-29,ברזיל,0,0,0,3,0,0,Brazil
2021-09-29,הונגריה,0,0,0,521,20,0,Hungary
2021-09-29,אוסטרליה,0,0,0,2,2,0,Australia
2021-09-29,בוטסואנה,0,0,0,1,0,0,Botswana
2021-09-29,אסטוניה,0,0,0,6,1,0,Estonia
2021-09-29,סרביה,0,0,0,7,1,0,Serbia
2021-09-29,סינגפור,0,0,0,0,0,0,Singapore
2021-09-29,פרו,0,0,0,16,4,0,Peru
2021-09-29,גאנה,0,0,0,0,0,0,Ghana
2021-09-29,גרמניה,0,0,0,687,53,0,Germany
2021-09-29,אוקראינה,6,2,0,560,61,0,Ukraine
2021-09-29,בוסניה הרצגובינה,0,0,0,11,1,0,Bosnia and Herzegovina
2021-09-29,קזחסטאן,0,0,0,4,2,0,Kazakhstan
2021-09-29,קוסטה ריקה,0,1,0,58,13,0,Costa Rica
2021-09-29,דומיניקה,0,0,0,3,0,0,Dominica
2021-09-29,טנזניה,0,0,0,69,5,0,Tanzania
2021-09-29,קרואטיה,0,0,0,28,2,0,Croatia
2021-09-29,ונצואלה,0,0,0,0,0,0,Venezuela
2021-09-29,מאלי,0,0,0,1,1,0,Mali
2021-09-29,סלובניה,0,0,0,6,0,0,Slovenia
2021-09-29,אוסטריה,1,0,0,849,39,0,Austria
2021-09-29,אירלנד,0,0,0,21,0,0,Ireland
2021-09-29,ספרד,0,0,0,457,23,0,Spain
2021-09-29,קוריאה הדרומית,0,0,0,0,0,0,South Korea
2021-09-29,אקואדור,0,0,0,3,2,0,Ecuador
2021-09-29,זאיר,0,0,0,2,0,0,Zaire
2021-09-29,רומניה,3,0,0,527,54,0,Romania
2021-09-29,גאורגיה,1,0,0,404,21,0,Georgia
2021-09-29,קנדה,0,0,0,179,26,0,Canada
2021-09-29,רואנדה,0,0,0,8,0,0,Rwanda
2021-09-29,סין,0,0,0,0,0,0,China
2021-09-29,מדגסקר,0,0,0,1,0,0,Madagascar
2021-09-29,רוסיה,2,2,0,198,40,0,Russia
2021-09-29,מלטה,0,0,0,1,0,0,Malta
2021-09-29,קניה,0,0,0,4,2,0,Kenya
2021-09-29,חוף השנהב,0,0,0,1,0,0,Ivory Coast
2021-09-29,זימבאבווה,0,0,0,9,0,0,Zimbabwe
2021-09-29,איי טורקס וקייקוס,0,0,0,4,0,0,Turks and Caicos Islands
2021-09-29,הונג קונג,0,0,0,0,0,0,Hong Kong
2021-09-29,פורטו ריקו,0,0,0,1,0,0,Puerto Rico
2021-09-29,מצרים,5,3,0,1513,134,0,Egypt
2021-09-29,דרום אפריקה,0,0,0,45,1,0,South Africa
2021-09-29,אנגולה,0,0,0,4,0,0,Angola
2021-09-29,אזרביג'אן,0,0,0,8,0,0,Azerbaijan
2021-09-29,יפן,0,0,0,1,0,0,Japan
2021-09-29,גמייקה,0,0,0,3,0,0,Gamaica
2021-09-29,קולומביה,0,0,0,3,2,0,Colombia
2021-09-29,ארמניה,0,0,0,4,4,0,Armenia
2021-09-29,אוזבקיסטן,0,0,0,3,1,0,Uzbekistan
2021-09-29,קירג'זסטאן,0,0,0,19,0,0,Kyrgyzstan
2021-09-29,מונטנגרו,0,0,0,178,2,0,Montenegro
2021-09-29,הודו,0,0,0,1,0,0,India
2021-09-29,ניגריה,0,0,0,7,0,0,Nigeria
2021-09-29,פולינזיה הצרפתית,0,0,0,0,0,0,French Polynesia
2021-09-29,פורטוגל,0,0,0,71,10,0,Portugal
2021-09-29,כלל המדינות,24,10,0,17185,1218,0,All Countries
2021-09-30,פורטוגל,0,0,0,116,10,0,Portugal
2021-09-30,סינגפור,0,0,0,0,0,0,Singapore
2021-09-30,סלובניה,0,0,0,1,0,0,Slovenia
2021-09-30,קטר,0,0,0,1,0,0,Qatar
2021-09-30,איי סיישל,0,0,0,106,2,0,Seychelles
2021-09-30,מיאנמר (בורמה),0,0,0,0,0,0,Myanmar (Burma)
2021-09-30,פיליפינים,0,0,0,0,0,0,Philippines
2021-09-30,הממלכה המאוחדת,0,0,0,726,41,0,United Kingdom
2021-09-30,פינלנד,0,0,0,5,0,0,Finland
2021-09-30,אסטוניה,0,0,0,2,0,0,Estonia
2021-09-30,בילורוסיה,0,0,0,123,17,0,Belarus
2021-09-30,דרום סודאן,0,0,0,0,0,0,South Sudan
2021-09-30,רואנדה,0,0,0,13,0,0,Rwanda
2021-09-30,הונגריה,2,1,0,682,35,0,Hungary
2021-09-30,קניה,0,0,0,17,1,0,Kenya
2021-09-30,גינאה המשוונית,0,0,0,1,0,0, Equatorial Guinea 
2021-09-30,גרמניה,0,0,0,364,52,0,Germany
2021-09-30,פנמה,0,1,0,14,11,0,Panama
2021-09-30,פרגוואי,0,0,0,1,0,0,Paraguay
2021-09-30,קנדה,0,0,0,122,26,0,Canada
2021-09-30,צכיה,0,0,0,717,53,0,Czech Republic
2021-09-30,אוסטריה,0,0,0,422,40,0,Austria
2021-09-30,אזרביג'אן,0,0,0,94,5,0,Azerbaijan
2021-09-30,ספרד,0,0,0,433,29,0,Spain
2021-09-30,סרביה,0,0,0,3,0,0,Serbia
2021-09-30,אנגולה,0,0,0,1,0,0,Angola
2021-09-30,זימבאבווה,0,0,0,3,0,0,Zimbabwe
2021-09-30,פולינזיה הצרפתית,0,0,0,0,0,0,French Polynesia
2021-09-30,קרואטיה,0,0,0,7,0,0,Croatia
2021-09-30,חוף השנהב,0,0,0,2,0,0,Ivory Coast
2021-09-30,רומניה,1,1,0,362,34,0,Romania
2021-09-30,טנזניה,0,0,0,327,10,0,Tanzania
2021-09-30,אוזבקיסטן,0,0,0,7,2,0,Uzbekistan
2021-09-30,פולין,0,0,0,329,22,0,Poland
2021-09-30,תאילנד,0,0,0,0,0,0,Thailand
2021-09-30,סלובקיה,0,0,0,0,0,0,Slovakia
2021-09-30,צ'ילה,0,0,0,2,0,0,Chile
2021-09-30,שוודיה,0,0,0,18,2,0,Sweden
2021-09-30,נורבגיה,0,0,0,1,1,0,Norway
2021-09-30,דנמרק,0,0,0,130,8,0,Denmark
2021-09-30,בחריין,0,0,0,0,1,0,Bahrain
2021-09-30,מאלי,0,0,0,2,0,0,Mali
2021-09-30,קזחסטאן,0,0,0,0,0,0,Kazakhstan
2021-09-30,ליטא,0,0,0,138,10,0,Lithuania
2021-09-30,בלגיה,0,0,0,53,17,0,Belgium
2021-09-30,מקסיקו,0,0,0,2,0,0,Mexico
2021-09-30,אוקראינה,1,3,0,411,63,0,Ukraine
2021-09-30,ניו זילנד,0,0,0,3,1,0,New Zealand
2021-09-30,קפריסין,0,0,0,399,38,0,Cyprus
2021-09-30,יפן,0,0,0,1,1,0,Japan
2021-09-30,אוסטרליה,0,0,0,0,0,0,Australia
2021-09-30,איטליה,0,0,0,854,46,0,Italy
2021-09-30,מלדיבים,0,0,0,49,1,0,Maldives
2021-09-30,גבון,0,0,0,1,0,0,Gabon
2021-09-30,מקדוניה,0,0,0,3,0,0,Macedonia
2021-09-30,יוון,0,0,0,2155,113,0,Greece
2021-09-30,בורקינה פאסו,0,0,0,1,0,0,Burkina Faso
2021-09-30,ארצות הברית,8,8,0,2387,311,0,United States
2021-09-30,רוסיה,3,1,0,229,51,0,Russia
2021-09-30,סרי לנקה (צילון),0,0,0,9,2,0,Sri Lanka (photo)
2021-09-30,לטביה,0,0,0,2,0,0,Latvia
2021-09-30,אל סלבדור,0,0,0,1,0,0,El Salvador
2021-09-30,קוריאה הדרומית,0,0,0,3,0,0,South Korea
2021-09-30,איסלנד,0,0,0,98,5,0,Iceland
2021-09-30,בולגריה,0,0,0,5,1,0,Bulgaria
2021-09-30,בהמס,0,0,0,1,0,0,Bahamas
2021-09-30,ברזיל,0,0,0,5,1,0,Brazil
2021-09-30,תוניסיה,0,0,0,0,0,0,Tunisia
2021-09-30,ארמניה,2,0,0,84,5,0,Armenia
2021-09-30,ירדן,1,1,0,120,18,0,Jordan
2021-09-30,הרפ הדומיניקנית,0,0,0,2,0,0,Dominican Harp
2021-09-30,גויאנה,0,0,0,1,0,0,Guyana
2021-09-30,גאורגיה,0,0,0,789,63,0,Georgia
2021-09-30,צרפת,0,0,0,1025,102,0,France
2021-09-30,ארגנטינה,0,0,0,6,1,0,Argentina
2021-09-30,דרום אפריקה,0,0,0,42,4,0,South Africa
2021-09-30,מקאו,0,0,0,1,0,0,Macau
2021-09-30,מצרים,4,1,0,909,86,0,Egypt
2021-09-30,הונדורס,0,0,0,0,0,0,Honduras
2021-09-30,פרו,0,1,0,13,23,0,Peru
2021-09-30,זאיר,0,0,0,1,0,0,Zaire
2021-09-30,איחוד האמירויות הערב,0,0,0,328,30,0,UAE
2021-09-30,אוגנדה,0,0,0,8,4,0,Uganda
2021-09-30,הולנד,1,1,0,331,37,0,Netherlands
2021-09-30,קירג'זסטאן,0,0,0,5,2,0,Kyrgyzstan
2021-09-30,אתיופיה,1,0,0,52,12,0,Ethiopia
2021-09-30,ניגריה,0,0,0,6,3,0,Nigeria
2021-09-30,נפאל,0,0,0,1,0,0,Nepal
2021-09-30,אירלנד,0,0,0,16,1,0,Ireland
2021-09-30,מולדובה,0,0,0,105,14,0,Moldova
2021-09-30,קוסטה ריקה,0,1,0,33,7,0,Costa Rica
2021-09-30,שוויץ,0,0,0,338,23,0,Switzerland
2021-09-30,מרוקו,0,0,0,305,11,0,Morocco
2021-09-30,ניקרגואה,0,0,0,2,0,0,Nicaragua
2021-09-30,מלטה,0,0,0,1,0,0,Malta
2021-09-30,גאנה,0,0,0,1,2,0,Ghana
2021-09-30,תורכיה,0,0,0,40,9,0,Turkey
2021-09-30,טג'יקיסטאן,0,0,0,3,0,0,Tajikistan
2021-09-30,בוסניה הרצגובינה,1,0,0,6,1,0,Bosnia and Herzegovina
2021-09-30,הונג קונג,0,0,0,2,0,0,Hong Kong
2021-09-30,קולומביה,0,0,0,13,11,0,Colombia
2021-09-30,גווטאמלה,0,0,0,7,8,0,Guatemala
2021-09-30,הודו,0,0,0,3,0,0,India
2021-09-30,מונטנגרו,0,0,0,6,0,0,Montenegro
2021-09-30,אלבניה,0,1,0,127,5,0,Albania
2021-09-30,כלל המדינות,25,22,0,17424,1620,0,All Countries
2021-10-01,הרפ הדומיניקנית,0,0,0,9,1,0,Dominican Harp
2021-10-01,מולדובה,0,0,0,47,13,0,Moldova
2021-10-01,פיליפינים,0,0,0,0,0,0,Philippines
2021-10-01,צ'ילה,0,0,0,0,0,0,Chile
2021-10-01,מצרים,0,2,0,881,80,0,Egypt
2021-10-01,ארצות הברית,5,2,0,2052,235,0,United States
2021-10-01,צרפת,1,0,0,641,53,0,France
2021-10-01,בחריין,0,0,0,29,0,0,Bahrain
2021-10-01,קמבודיה,0,0,0,1,0,0,Cambodia
2021-10-01,פנמה,0,1,0,7,3,0,Panama
2021-10-01,קפריסין,0,0,0,504,27,0,Cyprus
2021-10-01,הונגריה,0,0,0,441,17,0,Hungary
2021-10-01,לוכסמבורג,0,0,0,1,0,0,Luxembourg
2021-10-01,ספרד,0,2,0,380,26,0,Spain
2021-10-01,צכיה,0,0,0,810,83,0,Czech Republic
2021-10-01,רומניה,0,0,0,236,15,0,Romania
2021-10-01,מונטנגרו,0,0,0,174,11,0,Montenegro
2021-10-01,תוניסיה,0,0,0,2,1,0,Tunisia
2021-10-01,הודו,0,0,0,12,0,0,India
2021-10-01,גאנה,0,0,0,1,0,0,Ghana
2021-10-01,בלגיה,0,0,0,92,7,0,Belgium
2021-10-01,ארגנטינה,0,0,0,14,3,0,Argentina
2021-10-01,קוסטה ריקה,0,0,0,102,27,0,Costa Rica
2021-10-01,יוון,1,0,0,905,39,0,Greece
2021-10-01,פורטוגל,0,0,0,41,4,0,Portugal
2021-10-01,לטביה,0,0,0,2,0,0,Latvia
2021-10-01,אזרביג'אן,0,0,0,54,2,0,Azerbaijan
2021-10-01,אפגניסטן,0,0,0,2,0,0,Afghanistan
2021-10-01,סנגל,0,0,0,1,0,0,Senegal
2021-10-01,בילורוסיה,0,0,0,1,0,0,Belarus
2021-10-01,אסטוניה,0,0,0,1,1,0,Estonia
2021-10-01,סרביה,0,0,0,65,3,0,Serbia
2021-10-01,הונג קונג,0,0,0,0,1,0,Hong Kong
2021-10-01,מקסיקו,0,0,0,4,0,0,Mexico
2021-10-01,ונצואלה,0,0,0,0,0,0,Venezuela
2021-10-01,תאילנד,0,0,0,169,30,0,Thailand
2021-10-01,רוסיה,0,0,0,330,50,0,Russia
2021-10-01,יפן,0,0,0,0,0,0,Japan
2021-10-01,גאורגיה,1,0,0,336,32,0,Georgia
2021-10-01,הולנד,0,1,0,205,34,0,Netherlands
2021-10-01,טוגו,0,0,0,1,0,0,Togo
2021-10-01,תורכיה,0,1,0,97,11,0,Turkey
2021-10-01,אוסטריה,0,0,0,869,50,0,Austria
2021-10-01,גינאה,0,0,0,2,0,0,Guinea
2021-10-01,אורגוואי,0,0,0,3,0,0,Uruguay
2021-10-01,אלבניה,0,0,0,5,1,0,Albania
2021-10-01,גרנדה,0,0,0,0,1,0,Grande
2021-10-01,ליטא,0,0,0,5,0,0,Lithuania
2021-10-01,קנדה,0,0,0,169,31,0,Canada
2021-10-01,מקדוניה,0,0,0,1,0,0,Macedonia
2021-10-01,בוסניה הרצגובינה,0,0,0,24,3,0,Bosnia and Herzegovina
2021-10-01,ניו זילנד,0,0,0,0,0,0,New Zealand
2021-10-01,איטליה,0,0,0,855,51,0,Italy
2021-10-01,גרמניה,0,0,0,847,41,0,Germany
2021-10-01,מרוקו,0,0,0,16,1,0,Morocco
2021-10-01,קירג'זסטאן,0,0,0,11,0,0,Kyrgyzstan
2021-10-01,פולין,1,0,0,238,14,0,Poland
2021-10-01,אוקראינה,4,1,0,426,61,0,Ukraine
2021-10-01,אוסטרליה,0,0,0,1,0,0,Australia
2021-10-01,דרום אפריקה,0,0,0,6,1,0,South Africa
2021-10-01,כווית,0,0,0,1,0,0,Kuwait
2021-10-01,סלובניה,1,0,0,6,0,0,Slovenia
2021-10-01,קניה,0,0,0,6,0,0,Kenya
2021-10-01,שוויץ,0,0,0,279,23,0,Switzerland
2021-10-01,חוף השנהב,0,0,0,1,0,0,Ivory Coast
2021-10-01,אירלנד,0,0,0,9,1,0,Ireland
2021-10-01,איסלנד,0,0,0,19,3,0,Iceland
2021-10-01,שוודיה,0,0,0,7,1,0,Sweden
2021-10-01,קוריאה הדרומית,0,0,0,0,1,0,South Korea
2021-10-01,פינלנד,0,0,0,42,3,0,Finland
2021-10-01,ניגריה,0,0,0,1,1,0,Nigeria
2021-10-01,קמרון,0,0,0,0,1,0,Cameroon
2021-10-01,מלדיבים,0,0,0,45,3,0,Maldives
2021-10-01,בולגריה,0,0,0,4,1,0,Bulgaria
2021-10-01,אקואדור,0,0,0,12,2,0,Ecuador
2021-10-01,קרואטיה,0,0,0,30,0,0,Croatia
2021-10-01,גווטאמלה,0,0,0,4,2,0,Guatemala
2021-10-01,פרו,0,0,0,14,4,0,Peru
2021-10-01,איחוד האמירויות הערב,0,0,0,94,9,0,UAE
2021-10-01,סין,0,0,0,0,1,0,China
2021-10-01,ברזיל,0,0,0,2,2,0,Brazil
2021-10-01,סרי לנקה (צילון),0,0,0,8,2,0,Sri Lanka (photo)
2021-10-01,אוזבקיסטן,0,0,0,5,2,0,Uzbekistan
2021-10-01,סלובקיה,0,0,0,183,5,0,Slovakia
2021-10-01,סינגפור,0,0,0,0,1,0,Singapore
2021-10-01,דנמרק,0,0,0,32,2,0,Denmark
2021-10-01,קטר,0,0,0,0,0,0,Qatar
2021-10-01,קזחסטאן,0,0,0,7,1,0,Kazakhstan
2021-10-01,קולומביה,0,0,0,4,2,0,Colombia
2021-10-01,נורבגיה,0,0,0,6,2,0,Norway
2021-10-01,ירדן,0,0,0,3,0,0,Jordan
2021-10-01,ארמניה,0,0,0,8,1,0,Armenia
2021-10-01,הממלכה המאוחדת,0,0,0,670,32,0,United Kingdom
2021-10-01,כלל המדינות,14,10,0,14253,1225,0,All Countries
2021-10-02,פנמה,0,0,0,16,6,0,Panama
2021-10-02,אוזבקיסטן,0,0,0,1,0,0,Uzbekistan
2021-10-02,נורבגיה,0,0,0,2,0,0,Norway
2021-10-02,שוויץ,0,0,0,100,4,0,Switzerland
2021-10-02,פינלנד,0,0,0,4,1,0,Finland
2021-10-02,בולגריה,0,0,0,2,0,0,Bulgaria
2021-10-02,ספרד,0,0,0,54,1,0,Spain
2021-10-02,דנמרק,0,0,0,6,0,0,Denmark
2021-10-02,אקואדור,0,0,0,1,0,0,Ecuador
2021-10-02,קונגו,0,0,0,1,0,0,Congo
2021-10-02,מונקו,0,0,0,2,0,0,Monaco
2021-10-02,פרו,0,0,0,13,4,0,Peru
2021-10-02,גאנה,0,1,0,9,2,0,Ghana
2021-10-02,גבון,0,0,0,0,1,0,Gabon
2021-10-02,מצרים,2,0,0,1570,159,0,Egypt
2021-10-02,ונצואלה,0,0,0,0,0,0,Venezuela
2021-10-02,איחוד האמירויות הערב,0,0,0,180,20,0,UAE
2021-10-02,מלדיבים,0,0,0,34,1,0,Maldives
2021-10-02,זאיר,0,0,0,1,0,0,Zaire
2021-10-02,תאילנד,0,0,0,3,0,0,Thailand
2021-10-02,תורכיה,0,0,0,46,11,0,Turkey
2021-10-02,סרי לנקה (צילון),0,0,0,13,0,0,Sri Lanka (photo)
2021-10-02,מקסיקו,0,0,0,4,1,0,Mexico
2021-10-02,אזרביג'אן,0,0,0,0,1,0,Azerbaijan
2021-10-02,לסוטו,0,0,0,0,1,0,Lesotho
2021-10-02,ניקרגואה,0,0,0,1,0,0,Nicaragua
2021-10-02,מוזמביק,0,0,0,4,0,0,Mozambique
2021-10-02,דומיניקה,0,0,0,3,3,0,Dominica
2021-10-02,קוריאה הדרומית,0,0,0,0,0,0,South Korea
2021-10-02,ארמניה,0,0,0,5,1,0,Armenia
2021-10-02,האנטילים ההולנדים,0,0,0,2,0,0,Netherlands Antilles
2021-10-02,דרום אפריקה,0,0,0,54,3,0,South Africa
2021-10-02,פולין,0,0,0,208,9,0,Poland
2021-10-02,איסלנד,0,0,0,79,5,0,Iceland
2021-10-02,טיוואן,0,0,0,1,0,0,Taiwan
2021-10-02,סלובקיה,0,0,0,0,1,0,Slovakia
2021-10-02,בחריין,0,0,0,0,0,0,Bahrain
2021-10-02,זמביה,0,0,0,1,0,0,Zambia
2021-10-02,צאד,0,0,0,1,0,0, Tsad 
2021-10-02,חוף השנהב,0,0,0,3,0,0,Ivory Coast
2021-10-02,פורטוגל,0,0,0,25,5,0,Portugal
